total: 456979900
no_kmer: 214323573100
th: 12
f1	27176173568
f2	554680320
f3	121384960
f4	50556928
f5	28250112
f6	16789504
f7	11780096
f8	8683520
f9	6594560
f10	5619712
f11	4956160
f12	4321280
f13	4505600
f14	4308992
f15	4620288
f16	4952064
f17	5443584
f18	6180864
f19	6447104
f20	7131136
f21	7999488
f22	8474624
f23	9969664
f24	10739712
f25	11567104
f26	12324864
f27	12935168
f28	14278656
f29	15048704
f30	16060416
f31	16822272
f32	17559552
f33	18350080
f34	19423232
f35	20258816
f36	21663744
f37	22765568
f38	24289280
f39	24489984
f40	26456064
f41	28454912
f42	30195712
f43	31375360
f44	33587200
f45	35454976
f46	38150144
f47	40431616
f48	41934848
f49	44212224
f50	46243840
f51	49106944
f52	51290112
f53	53047296
f54	53739520
f55	56496128
f56	56836096
f57	59047936
f58	59686912
f59	61108224
f60	62160896
f61	62164992
f62	62615552
f63	62738432
f64	63627264
F0: 30593511424
